Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
staging,surbhi-upstream,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,surbhi-downstream
staging,hungry-hippo-anthony-noel,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,shahid,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,split_screen_case_search,,,,
staging,1921-downstream-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,kt-load-30k,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,data-sharing-from,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,mapson,IMPLEMENTATION,Dimagi Only CommCare Enterprise Edition,False,
staging,covid-ny-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,florida-covid,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"florida-covid-jax,florida-covid-mdc"
staging,qa-load-20k,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,bha-auto-tests,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,data-registry-scrap-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,skelly,NOT_SET,Dimagi Only CommCare Enterprise Edition,True,
staging,project-space-1d,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,case-search-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,covid-co-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,traveller,PRODUCT,CommCare Paused Edition,,
staging,downgrade3,NOT_SET,CommCare Paused Edition (With ERM),,
staging,third-space,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,qa-mrm-adv-downstream1,INTERNAL,CommCare Advanced Edition - Pay Monthly,True,
staging,linked-rules-up,IMPLEMENTATION,linked_rules,True,"linked-rules-down2,linked-rule-down1"
staging,qa,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,4030-downstream1,IMPLEMENTATION,4030_Enterprise,True,
staging,another-upstream,PRODUCT,CommCare Paused Edition,True,bha-perf
staging,bp-staging-domain,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,qa-erm-v1-downstream3,IMPLEMENTATION,QA-ERM-V1 Software Plan,True,
staging,smart-on-fhir-poc,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,upgrade-downgrade,NOT_SET,CommCare Paused Edition (With ERM),,
staging,addison-test-st,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,addison-test-sub-dom
staging,dataregistry3,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,2984-upstream,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,3156-down,IMPLEMENTATION,Enterprise: ERM Test,True,
staging,case-search-and-claim,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,kt-load-5k,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,woody-test-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,qa-mrm-adv-downstream2,PRODUCT,CommCare Advanced Edition - Pay Monthly,True,
staging,dual-storage-postgres-qa,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,connectqa,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,qa-7315,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
staging,kt-load-20k,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,linked-rule-down1,IMPLEMENTATION,linked_rules,True,
staging,advanced-project,PRODUCT,CommCare Standard Edition - Pay Monthly,,another-downstream
staging,smh-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,covid-nj-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,dataregistry2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,related-50k,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,test-63,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,downgrade6,PRODUCT,CommCare Community Edition (With ERM),,
staging,kt-load-10k,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,qa-3012,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,ccc-chc-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,martins-smart-links,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,qa-uat,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,test-stale-data,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,downgrade7,NOT_SET,CommCare Paused Edition (With ERM),,
staging,web-user-domain-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,test-65,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
staging,project-space-1,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,project-space-1d
staging,community-project,NOT_SET,CommCare Community Edition (With ERM),,
staging,downgrade2,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,standard-project,PRODUCT,CommCare Standard Edition - Pay Monthly,,
staging,casesearch,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"casesearch-2,https://eu.commcarehq.org/a/casesearch-eu/,casesearch-1,https://www.commcarehq.org/a/casesearch/,kartikaccc,casesearch-split-screen"
staging,2984-downstream,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,enterprise-project,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,us-covid-performance,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
staging,linked-b-up,INTERNAL,Dimagi Only CommCare Enterprise Edition,,"linked-b-down,yearly-billing,stripe,push-content,upgrade-downgrade,smoketest"
