Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
production,co-baca,,,,
production,ny-transfers-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,hungry-hippo-braxton,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,aashima-testing-1,PRODUCT,CommCare Paused Edition,,
production,nj-covid-hudson,,,,
production,charlsmit-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,skelly,NOT_SET,Dimagi Only CommCare Enterprise Edition,True,http://localhost:8000/a/not-sql/
production,david-warren-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ymtest,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,philly-covid19-test,,,,
production,ny-monroe-cdcms,PRODUCT,CommCare Paused Edition,True,
production,bf-vaccine-delivery-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,kc-project,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,co-denver,,,,
production,nj-covid-essex,,,,
production,aashima,,,,
production,ny-jefferson-cdcms,PRODUCT,CommCare Paused Edition,True,
production,summit-hunt,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,staging-dms-colombia,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"master-ve-dms-colombia,prueba-dms-colombia-1,dms-colombia"
production,inddex-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,nphcda-echis-dev,PRODUCT,CommCare Paused Edition,True,"nphcda-echis-training,tj-test2,nphcda-echis"
production,edss-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,sctpn,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,vectorlink-sierra-leone,PRODUCT,CommCare Paused Edition,,
production,adama-s-fun-app,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,wv-sahel-cameroon-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,fh-ethiopia-dev,PRODUCT,CommCare Paused Edition,,"mypractice,fh-ethiopia-psnp,fh-ethiopia-training,fh-ethiopia-2"
production,ny-chemung-cdcms,PRODUCT,CommCare Paused Edition,True,
production,ny-training-cdcms,IMPLEMENTATION,CommCare Paused Edition,True,
production,ush-migration-b,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ny-westchester-cdcms,PRODUCT,CommCare Paused Edition,True,
production,mpdsr-prod,PRODUCT,CommCare Paused Edition,,
production,amit-learning-project,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-douglas,,,,
production,sci-civ-malaria,PRODUCT,CommCare Advanced Edition - Pay Annually,True,
production,co-delta,,,,
production,data-engineer-interview,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,bh-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,ny-viaduct-state-cdcms,PRODUCT,CommCare Paused Edition,True,
production,ny-oneida-cdcms,PRODUCT,CommCare Paused Edition,True,
production,connect-experiments,IMPLEMENTATION,Enterprise Plan for CommCare Connect,,
production,nj-covid-state,,,,
