"Place","Population"
"WOODS CROSS",8888
"HONEY BROOK",8879
"WILLOWBROOK",8878
"LONG GROVE",8875
"GRANBURY",8871
"STURBRIDGE",8859
"MACEDON",8855
"NEW SCOTLAND",8840
"SOUTH STRABANE",8839
"SCHUYLKILL",8837
"GRAYLING",8832
"MONETT",8829
"STUTTGART",8828
"OAK BROOK",8828
"AVON PARK",8824
"SITKA",8821
"BELLEFONTE",8817
"LAMESA",8815
"SALLISAW",8812
"NORTH ELBA",8810
"CAPE ELIZABETH",8806
"SOLEBURY",8805
"JONESVILLE",8805
"TWIN LAKES",8805
"HOQUIAM",8804
"MARCELLUS",8798
"ANACONDA-DEER LODGE",8792
"EAST RUTHERFORD",8785
"GIBSON",8781
"RIO VISTA",8776
"WARD",8772
"GRANTS",8772
"ELLICOTT",8766
"SWISSVALE",8760
"KINROSS",8758
"ALAMOSA",8756
"GRIDLEY",8755
"ARANSAS PASS",8754
"ASH",8750
"WASECA",8749
"SILER CITY",8747
"SCHUYLER",8747
"LOWER SWATARA",8742
"THREE RIVERS",8741
"CHANUTE",8738
"BRACEVILLE",8735
"TIBURON",8730
"TITTABAWASSEE",8730
"HOLMEN",8726
"ALCOA",8724
"CANONSBURG",8721
"EAST LINCOLN",8706
"HALEDON",8705
"LOS ALTOS HILLS",8699
"UPPER LEACOCK",8696
"ROXBORO",8681
"SNOQUALMIE",8680
"CLOSTER",8675
"MAXATAWNY",8675
"QUAKERTOWN",8672
"PERKASIE",8669
"WESTAMPTON",8661
"CAMP HILL",8651
"PISMO BEACH",8640
"WILLOUGHBY HILLS",8640
"PENNFIELD",8638
"CENTERTON",8637
"BOAZ",8637
"CORTEZ",8632
"ROGERSVILLE",8620
"BLOOMER",8618
"WASHINGTON TERRACE",8614
"CRESSKILL",8614
"BRAZIL",8612
"GUNTERSVILLE",8611
"LEONIA",8611
"CONOVER",8609
"ORRVILLE",8607
"TUSCUMBIA",8605
"COLORADO CITY",8604
"LA FOLLETTE",8603
"DES PERES",8599
"COLLEGEVILLE",8596
"SKOWHEGAN",8595
"CLARENDON HILLS",8595
"SCOTIA",8594
"BERN",8592
"HORNELL",8590
"BLUFFDALE",8588
"LITTLEFIELD",8583
"ERIN",8581
"BRANSON",8579
"LONG HILL",8579
"OVID",8576
"ABSECON",8573
"ISANTI",8569
"SANTAQUIN",8566
"ANNA",8559
"THIEF RIVER FALLS",8557
"EAST TROY",8544
"FALLON",8544
"DEERPARK",8524
"ROSENDALE",8524
"MARGATE CITY",8524
"BIG FLATS",8522
"LOCKE",8521
"BUXTON",8519
"IONE",8515
"UPPER MAKEFIELD",8509
"OLD FORGE",8509
"LOCK HAVEN",8503
"NORTH LOGAN",8500
"ROSELAND",8482
"UPPER SADDLE RIVER",8480
"BYRAM",8478
"BRIDGE CITY",8467
"DUQUESNE",8466
"TINICUM",8465
"DAWSON",8463
"WEST CALN",8462
"WESTLAKE VILLAGE",8459
"SONORA",8458
"CONSHOHOCKEN",8456
"MOUNT RAINIER",8453
"DORMONT",8451
"FLOYD",8438
"SOUTH OTTAWA",8427
"CHEVIOT",8425
"COLLINGDALE",8417
"WEST LONG BRANCH",8416
"GROSSE POINTE FARMS",8416
"RUNNEMEDE",8408
"SCHROEPPEL",8405
"BAY ST LOUIS",8404
"CASTLETON",8403
"BOW",8402
"LOUISBURG",8394
"SPRING ARBOR",8389
"MENTOR-ON-THE-LAKE",8387
"LOPATCONG",8383
"CROOKSTON",8383
"HAMPSHIRE",8376
"TROPHY CLUB",8376
"SPRINGHILL",8372
"WRIGHTSTOWN",8372
"SANDPOINT",8370
"SHERRILL",8369
"BUSHKILL",8357
"FIRESTONE",8356
"PORT JEFFERSON",8353
"PHELPS",8353
"NEWSTEAD",8349
"BUDA",8346
"BINGHAM",8343
"BAUGO",8343
"BAY MINETTE",8342
"ALLEGANY",8339
"WYNNE",8339
"JERSEYVILLE",8339
"BROCKPORT",8338
"AIRMONT",8336
"RIDGWAY",8334
"RHINEBECK",8330
"LATROBE",8328
"HARDYSTON",8326
"ALEXANDER",8318
"UPPER DEERFIELD",8317
"HARTSVILLE",8315
"ROOSEVELT",8302
"CORBIN",8299
"OAK ISLAND",8297
"PLUMSTED",8292
"TEMPLETON",8292
"POTEAU",8290
"AMBOY",8290
"POULSBO",8284
"WINNEMUCCA",8283
"ARAB",8283
"HANDY",8280
"PERKIOMEN",8275
"GILFORD",8274
"DETROIT LAKES",8268
"GARRETT",8262
"LAKE GENEVA",8261
"RIVER ROUGE",8255
"INDIAN HARBOUR BEACH",8251
"TURNER",8242
"AVOCA",8231
"PAVILION",8230
"WYTHEVILLE",8225
"MORRISON",8220
"RICHLAND HILLS",8214
"HAZLEHURST",8213
"PAGE",8207
"WHITING",8206
"TUSCOLA",8200
"MAURICE RIVER",8196
"COLLEGEDALE",8195
"SUNSET HILLS",8194
"LADUE",8188
"MEREDITH",8186
"PAWLING",8186
"SPOTSWOOD",8180
"LINCOLN CITY",8175
"HADDAM",8171
"FIFE",8169
"EAST NOTTINGHAM",8167
"FRIENDSHIP",8164
"BOXFORD",8164
"HARRODSBURG",8161
"NORTH BAY VILLAGE",8159
"ATLAS",8158
"DARDENNE PRAIRIE",8141
"MUSKINGUM",8140
"LAKE DALLAS",8139
"RINCON",8139
"WAGONER",8139
"CENTER LINE",8127
"LINCOLNSHIRE",8126
"WEST FRANKFORT",8125
"MILES CITY",8123
"BISHOP",8120
"MUNFORD",8111
"MAHTOMEDI",8110
"WEST BOYLSTON",8109
"OLMSTED FALLS",8104
"CAERNARVON",8099
"ELBRIDGE",8099
"CEDARVILLE",8095
"CROSS PLAINS",8094
"CARIBOU",8094
"LENOIR CITY",8092
"MOUNT ZION",8082
"VILLE PLATTE",8081
"CASTLE SHANNON",8080
"EAST MARLBOROUGH",8075
"HAILEY",8075
"FORT VALLEY",8074
"CHEROKEE",8073
"EAST UNION",8069
"HAWTHORN WOODS",8068
"BROWNHELM",8066
"BOURBON",8063
"CORTLANDVILLE",8059
"MERRIMAC",8052
"DIGHTON",8049
"SCOTT CITY",8047
"COEYMANS",8041
"NEW CUMBERLAND",8035
"MILLIS",8034
"BREAUX BRIDGE",8033
"ORANGEVILLE",8023
"INDIAN CREEK",8020
"PORT ORCHARD",8017
"LAKETON",8016
"WEST DUNDEE",8015
"BROKEN BOW",8013
"DOWNINGTOWN",8012
"FLATWOODS",8012
"HARWOOD HEIGHTS",8009
"ALGONA",8005
"MONESSEN",8000
"ILION",7992
"CARNEYS POINT",7991
"BROUSSARD",7984
"PLEASANT HILLS",7982
"BAGLEY",7981
"JENKINS",7981
"SUNSET",7966
"CROTON-ON-HUDSON",7965
"MENALLEN",7962
"HELOTES",7960
"HASTINGS-ON-HUDSON",7960
"BRIARCLIFF MANOR",7957
"CALUMET PARK",7953
"HAVANA",7950
"KENAI",7945
"FORT SCOTT",7938
"STEUBEN",7932
"UPPER MOUNT BETHEL",7929
"WEST BRANDYWINE",7927
"BLACKWELL",7926
"CORRALES",7924
"HINTON",7922
"HARTSVILLE-TROUSDALE",7922
"ELLWOOD CITY",7921
"BOGOTA",7917
"BLACK MOUNTAIN",7910
"LOWER WINDSOR",7907
"TUSCARAWAS",7902
"CATOOSA",7897
"TUSCARORA",7893
"LUCAS",7884
"CHESTNUT RIDGE",7882
"CLARKSON",7882
"IVINS",7874
"FOUNTAIN INN",7870
"BARTONVILLE",7854
"AYER",7854
"WAHPETON",7852
"EAST GRAND FORKS",7849
"NORTH COVENTRY",7843
"SEBASTOPOL",7837
"ROLLING HILLS ESTATES",7834
"ARMSTRONG",7825
"WEST EARL",7822
"FROSTBURG",7822
"LAMPASAS",7821
"BURKE",7815
"WETUMPKA",7807
"OJAI",7807
"SOUTH BOSTON",7805
"CLAIRTON",7791
"FORT RUSSELL",7789
"ORADELL",7787
"WHITESBORO",7770
"HIRAM",7770
"SOUTH AMBOY",7770
"DECORAH",7767
"BROADVIEW",7759
"SILVIS",7759
"HALES CORNERS",7756
"GRAND RIVER",7747
"GERING",7738
"FORT LUPTON",7737
"VILLA HILLS",7731
"IRON MOUNTAIN",7723
"STONE MOUNTAIN",7722
"TOWANDA",7721
"EDGEWATER PARK",7721
"HILLVIEW",7719
"OLD TOWN",7715
"MOREHEAD",7710
"VERGENNES",7691
"WOODLAKE",7688
"WRIGHTSVILLE",7687
"BLADENSBURG",7686
"CALIPATRIA",7685
"FRANKSTOWN",7684
"LUVERNE",7682
"SWAINSBORO",7678
"PAYETTE",7677
"ROBESON",7677
"DUNLAP",7675
"HARDWICK",7673
"HYRUM",7670
"LIBERTY LAKE",7670
"HADDON HEIGHTS",7665
"FORT STOCKTON",7662
"FLETCHER",7662
"BROWNVILLE",7660
"UPPER MILFORD",7654
"DONALDSONVILLE",7654
"LAKE ELMO",7647
"MCCOOK",7646
"SCHAGHTICOKE",7646
"FLORESVILLE",7642
"BUCK CREEK",7641
"MASCOUTAH",7639
"MONTVALE",7636
"ATHERTON",7634
"BERNARDSVILLE",7630
"PENN FOREST",7625
"LEON",7624
"GRAND LEDGE",7618
"PLAISTOW",7617
"PEARSALL",7617
"WEBSTER CITY",7603
"NAVASOTA",7601
"PEE PEE",7601
"WEST LINCOLN",7596
"MOLALLA",7595
"FORT MITCHELL",7592
"SANDSTONE",7586
"EAST HUNTINGDON",7585
"BROOKSIDE",7582
"WEST MANHEIM",7582
"GOODLAND",7580
"RHINELANDER",7574
"ROBBINS",7572
"TILDEN",7570
"NEW SEWICKLEY",7567
"RIB MOUNTAIN",7553
"CALIMESA",7552
"SPANISH FORT",7539
"RACCOON",7525
"CHURCH HILL",7522
"KETCHIKAN",7515
"CARTERVILLE",7512
"WAWAYANDA",7506
"KOSCIUSKO",7498
"WASHBURN",7495
"THORNAPPLE",7491
"CLOVER",7489
"MARBLE FALLS",7485
"KEYPORT",7482
"ALAMO HEIGHTS",7477
"TELL CITY",7473
"TOBYHANNA",7469
"TURTLE CREEK",7464
"OLIVETTE",7464
"KIRTLAND",7463
"WOOD-RIDGE",7462
"SCOTTSVILLE",7461
"CONCORDIA",7459
"FAIRBURY",7455
"HART",7454
"CARL JUNCTION",7450
"WEST UNION",7448
"COLEMAN",7445
"CHARTIERS",7440
"SUGAR LOAF",7425
"SOUTH LONDONDERRY",7424
"SENATOBIA",7421
"IRONWOOD",7412
"BELEN",7411
"TREASURE ISLAND",7411
"BULLSKIN",7409
"CANTERBURY",7407
"EAST DONEGAL",7402
"OLD LYME",7402
"STAYTON",7398
"CHEHALIS",7396
"MAMMOTH LAKES",7392
"BUSTI",7391
"HITCHCOCK",7390
"LANDER",7387
"CLINTONIA",7387
"STRAFFORD",7376
"BRUNSWICK HILLS",7372
"NORTH HANOVER",7368
"COLBY",7362
"GREAT BARRINGTON",7358
"SKANEATELES",7357
"ST JOHNSBURY",7356
"NEW CARLISLE",7353
"TALLULAH",7353
"CHARLES CITY",7344
"YREKA",7343
"CADIZ",7341
"ESCALON",7333
"KASSON",7331
"SEAFORD",7329
"RICE",7328
"WEST DONEGAL",7326
"DANBY",7322
"ROOTSTOWN",7322
"WATERBORO",7315
"ASHLEY",7314
"CRESCENT",7310
"DEMOPOLIS",7309
"RUMSON",7309
"HEBER SPRINGS",7307
"SOUTH HEIDELBERG",7302
"TOLLESON",7302
"LAKE VIEW",7299
"SOUTHWEST RANCHES",7290
"STRATHAM",7288
"SELAH",7285
"KENNEDALE",7284
"REYNOLDS",7282
"EAST MANCHESTER",7282
"RAISIN",7281
"DONEGAL",7281
"CRESWELL",7279
"SWANZEY",7274
"ST THOMAS",7271
"MONCKS CORNER",7266
"BALDWINSVILLE",7264
"LONGBOAT KEY",7263
"SAVOY",7262
"GROSSE POINTE",7261
"HOOPER",7257
"JERSEY VILLAGE",7254
"KICKAPOO",7254
"SIGNAL MOUNTAIN",7254
"GLENOLDEN",7250
"HOUGHTON",7246
"STAR",7241
"CATO",7240
"GIG HARBOR",7240
"COTATI",7234
"LOOMIS",7232
"EDNA",7226
"DELPHOS",7220
"DALE",7217
"WAUSEON",7216
"HOLTON",7215
"BAYVILLE",7213
"SCRIBA",7209
"WEST COCALICO",7205
"BRONSON",7203
"WINTHROP HARBOR",7200
"SAUSALITO",7199
"DEEP RIVER",7191
"NEGAUNEE",7190
"DADE CITY",7190
"WILLISTON PARK",7184
"SYLVESTER",7178
"NAPPANEE",7178
"TABERNACLE",7170
"AMORY",7159
"ELON",7158
"PIERSON",7157
"GLOBE",7157
"MORROW",7154
"HATBORO",7154
"FOX",7151
"TAYLOR MILL",7148
"ORLAND HILLS",7147
"SHARPSBURG",7147
"SOUTH BERWICK",7146
"PESHTIGO",7145
"DALHART",7136
"DRESDEN",7136
"LA FERIA",7133
"GREAT NECK PLAZA",7129
"FANWOOD",7124
"BUSHNELL",7120
"KRONENWETTER",7115
"CLEWISTON",7107
"BURNHAM",7104
"FRANKFORD",7103
"KINGWOOD",7102
"HECTOR",7096
"SUTHERLIN",7092
"GORDON",7092
"WASHINGTONVILLE",7091
"DUNELLEN",7080
"SILSBEE",7072
"NORTH CALDWELL",7071
"UNION GROVE",7070
"EEL RIVER",7067
"BONNE TERRE",7065
"HARDY",7063
"FLOWOOD",7062
"AUSTELL",7058
"LANETT",7053
"RIVER OAKS",7051
"NORTH LONDONDERRY",7050
"LA SALLE",7042
"CONGRESS",7039
"ADAMSVILLE",7037
"EAST PIKELAND",7033
"GILEAD",7033
"RIDLEY PARK",7029
"LEESVILLE",7026
"ROELAND PARK",7026
"FIREBAUGH",7022
"TRUTH OR CONSEQUENCES",7021
"GOUVERNEUR",7018
"HUDSONVILLE",7014
"CUMMING",7013
"WADE",7008
"FAIRLAWN",7007
"TREMONTON",7002
"BEEBE",7002
"LA JUNTA",7000
"JUNIATA",6997
"STURTEVANT",6993
"MULBERRY",6993
"FULTONDALE",6993
"ALMENA",6986
"AZTEC",6985
"AMBRIDGE",6985
"ARGENTINE",6978
"EAST BRANDYWINE",6978
"ST MARTINVILLE",6977
"LYME",6968
"LAKEPORT",6967
"MONCLOVA",6955
"MOUNT RUSHMORE",6952
"RATHDRUM",6948
"BIG CREEK",6945
"HOOD RIVER",6945
"GLEN RIDGE",6940
"CYNTHIANA",6932
"BARRY",6931
"RIGA",6926
"SANDERSVILLE",6911
"BERKSHIRE",6906
"WAUPACA",6904
"FOX POINT",6903
"PINSON",6899
"SKIATOOK",6897
"PRATT",6895
"SYLVAN",6894
"FLORA",6894
"ALMONT",6882
"GALAX",6880
"FOLCROFT",6877
"WALLED LAKE",6877
"UPPER FREEHOLD",6877
"LONDON GROVE",6875
"BEL AIRE",6873
"NEBRASKA CITY",6869
"PLATTSMOUTH",6867
"WILLIAMSVILLE",6865
"BLACK JACK",6864
"AURELIUS",6864
"EAST COVENTRY",6856
"WAITE PARK",6856
"COTTON HILL",6854
"RUPERT",6845
"MOUNT HOREB",6834
"HARTFORD CITY",6830
"KILL DEVIL HILLS",6825
"BELLBROOK",6823
"EAST ROCHESTER",6819
"EAST HILLS",6818
"NEW PRAGUE",6812
"CARENCRO",6805
"ANSON",6803
"PRAIRIE DU CHIEN",6798
"CRESSON",6790
"GREEN BROOK",6788
"BRAIDWOOD",6785
"IDABEL",6783
"VASSAR",6780
"TRUMANN",6775
"OSCODA",6773
"WATCHUNG",6773
"HAPEVILLE",6772
"POMPEY",6769
"FRONTENAC",6768
"NEPTUNE BEACH",6760
"BLAIRSTOWN",6760
"EATONTON",6760
"MIDLAND PARK",6759
"NYACK",6749
"ATLANTIC",6748
"CARLINVILLE",6746
"ROCK",6744
"BARR",6742
"PAHOKEE",6740
"MOULTON",6737
"NITRO",6736
"COLONA",6735
"OTHELLO",6734
"BREVARD",6726
"SHAMONG",6723
"GROVER",6719
"PLATO",6718
"HOOSICK",6715
"MONTEVALLO",6712
"DEVILS LAKE",6711
"MANVEL",6705
"CARMI",6703
"WEST BRIDGEWATER",6699
"DEWEY",6694
"CROCKETT",6686
"EASTMAN",6683
"ALTAMONT",6678
"SALAMANCA",6670
"SIOUX CENTER",6666
"PURCELL",6666
"FREDERICKTOWN",6664
"ELSA",6662
"PLAQUEMINE",6657
"STOKES",6656
"WILNA",6653
"WEST VIEW",6651
"NEW LEBANON",6648
"PAOLI",6648
"HAMLET",6647
"TILTON",6639
"BEARDSTOWN",6638
"WICKENBURG",6637
"POTTER",6635
"WALNUT GROVE",6632
"NORTH CORNWALL",6625
"PIPESTONE",6625
"MARTINS FERRY",6618
"UNION BEACH",6612
"ORWELL",6611
"GULF BREEZE",6609
"RICHLANDS",6608
"SPRING CITY",6607
"GREEN COVE SPRINGS",6604
"WOLFEBORO",6602
"MOUNTAINSIDE",6597
"HUDSON FALLS",6595
"EAST EARL",6595
"CATASAUQUA",6594
"ATTALLA",6592
"BRIDGEVILLE",6591
"SPRING LAKE PARK",6587
"LARCHMONT",6587
"LOCUST GROVE",6585
"SOUDERTON",6583
"SPRING GROVE",6581
"NORTH SYRACUSE",6580
"CLIFTON HEIGHTS",6580
"FORT BRAGG",6580
"PANA",6579
"TREMONT",6573
"EDINBORO",6570
"MCKEAN",6570
"MORRILTON",6565
"BELLE ISLE",6553
"TAMAQUA",6550
"RALSTON",6549
"EAST VINCENT",6547
"EAST ALTON",6545
"ESTES PARK",6543
"FATE",6539
"AMBLER",6537
"LEITCHFIELD",6537
"LEDGEVIEW",6537
"MEXIA",6537
"BRONXVILLE",6534
"FRANKENMUTH",6533
"OPP",6531
"EPPING",6530
"EASTAMPTON",6528
"MANORHAVEN",6522
"KILLINGWORTH",6522
"ARCHBALD",6521
"ST HELENA",6521
"MATTAPOISETT",6519
"ANTIS",6519
"TARRANT",6518
"CHILDRESS",6510
"WILKINS",6509
"JOSHUA",6507
"CANDOR",6504
"FLEMINGTON",6500
"METROPOLIS",6490
"MONAHANS",6489
"WARNER",6485
"KITTANNING",6484
"TAZEWELL",6477
"TONGANOXIE",6476
"GUN PLAIN",6475
"CUERO",6474
"DUANESBURG",6471
"CHEVERLY",6470
"SPIRIT LAKE",6463
"LESLIE",6457
"CHERRY HILLS VILLAGE",6456
"ALEDO",6456
"UPPER HANOVER",6455
"HILTON",6455
"PAOLA",6455
"SELLERSBURG",6451
"LAGO VISTA",6445
"RIVERDALE PARK",6441
"GEORGES",6438
"ISLAMORADA",6435
"SOUTH HANOVER",6434
"CANAL WINCHESTER",6433
"BREITUNG",6431
"NELSONVILLE",6430
"PIGEON FORGE",6429
"SOLVAY",6429
"OAKMONT",6424
"FAIR OAKS RANCH",6422
"MCDONALD",6422
"RINDGE",6420
"BUNKER HILL",6418
"ROSSFORD",6416
"ARTHUR",6414
"JACKSBORO",6414
"TAOS",6414
"COLLIER",6412
"FORT ANN",6412
"BRIER",6410
"COBLESKILL",6407
"GLENARDEN",6406
"MILLS RIVER",6405
"PORT CLINTON",6404
"HERMON",6401
"SEALY",6399
"NAZARETH",6398
"STROUDSBURG",6397
"WEST GREENWICH",6392
"SCAPPOOSE",6392
"BUTNER",6391
"GRANDVIEW HEIGHTS",6389
"ANADARKO",6380
"MEADOWS PLACE",6377
"GRASS LAKE",6375
"PONCHATOULA",6375
"FREEBURG",6372
"NORMANDY PARK",6371
"CHANCEFORD",6368
"STONELICK",6367
"JAMESBURG",6366
"NOTTAWA",6362
"UPPER SANDUSKY",6362
"KODIAK",6357
"TOPSFIELD",6348
"LA CRESCENT",6348
"DODGEVILLE",6347
"BRADLEY",6346
"ST AUGUSTINE BEACH",6342
"RATON",6336
"IOWA PARK",6331
"CORRY",6331
"RUSK",6330
"CORDOVA",6328
"BELLVILLE",6326
"FORT MYERS BEACH",6325
"HUGHSON",6321
"ORTING",6319
"MILTON-FREEWATER",6319
"MOSINEE",6317
"VALLEY PARK",6316
"GLADEWATER",6311
"SOUTH WEBER",6307
"CLARIDON",6303
"DU QUOIN",6303
"WILMORE",6302
"BALLVILLE",6301
"ELIOT",6299
"VALLEY CITY",6299
"CHICKASAW",6292
"TUTTLE",6288
"NORTH VERNON",6279
"PEORIA HEIGHTS",6278
"FIRCREST",6278
"NEW HOLLAND",6276
"ROOT",6275
"VINITA",6275
"MANASQUAN",6273
"WINTERVILLE",6272
"WINOOSKI",6261
"TUCKAHOE",6259
"IDA",6258
"DWIGHT",6255
"BLACK CREEK",6254
"WOODRUFF",6254
"GILMER",6252
"BERGEN",6252
"EAST AURORA",6251
"MCGREGOR",6245
"YELM",6242
"WILLOWS",6237
"TALENT",6236
"STANWOOD",6235
"OTTO",6235
"RUMFORD",6232
"FORWARD",6232
"WOODBINE",6228
"ESTHERVILLE",6227
"PINE RIVER",6223
"LAKE BLUFF",6223
"PETERBOROUGH",6222
"ORANGE BEACH",6221
"MILLIKEN",6221
"DE QUEEN",6215
"DUVALL",6204
"KELLY",6203
"NORTH RIVERSIDE",6203
"FLORIDA",6201
"KENSINGTON",6199
"ASHVILLE",6194
"PENINSULA",6193
"RICHWOODS",6186
"OSNABURG",6178
"ROUND LAKE PARK",6177
"PITTSTOWN",6176
"WILLINGTON",6169
"POTOSI",6157
"GILBERTS",6154
"CEDARHURST",6151
"CROSBY",6151
"CLAVERACK",6146
"VIROQUA",6146
"SHALERSVILLE",6142
"BIG BEAR LAKE",6142
"MINNETRISTA",6142
"LITTLE SILVER",6141
"COMANCHE",6141
"SWARTHMORE",6134
"DISTRICT HEIGHTS",6127
"STEILACOOM",6127
"PONTOON BEACH",6121
"HELLAM",6114
"HOULTON",6112
"DOUGLASS HILLS",6110
"ROWLEY",6109
"DALEVILLE",6109
"EAST ELDORADO",6107
"CRAFTON",6106
"BANKS",6103
"WAVELAND",6103
"NEW SQUARE",6103
"ZEBULON",6102
"MOUNT HEALTHY",6100
"THURMONT",6098
"BISBEE",6092
"SAUKVILLE",6091
"PAULSBORO",6089
"ASPEN",6089
"THE VILLAGE OF INDIAN HILL",6086
"OMRO",6084
"ROSE HILL",6079
"GLENBURN",6077
"SCOTTSBURG",6074
"ASHBURNHAM",6070
"MARGARETTA",6069
"MACCLENNY",6069
"RED LION",6067
"PAULS VALLEY",6067
"HUNTINGBURG",6065
"MCKEES ROCKS",6064
"ROCHELLE PARK",6063
"MORRIS PLAINS",6062
"CARLSTADT",6059
"INDIANFIELDS",6059
"ELLETTSVILLE",6059
"OLD TAPPAN",6054
"LONE GROVE",6052
"MULLICA",6052
"CHOCOLAY",6051
"LOWER NAZARETH",6048
"CEDAR",6045
"GRAYSON",6045
"WHEELER",6042
"NICHOLSON",6041
"MCKENZIE",6040
"NA-AU-SAY",6034
"TORONTO",6032
"SATSUMA",6030
"PETOSKEY",6030
"CUSTER",6030
"ARCADE",6029
"CARUTHERSVILLE",6020
"NORTH SALEM",6019
"WAPPINGERS FALLS",6018
"OELWEIN",6017
"MONONGAHELA",6015
"GUN BARREL CITY",6013
"BURNET",6011
"NORTH KANSAS CITY",6007
"HARTER",6005
"VOLNEY",6005
"HENRYETTA",6004
"WASHINGTON PARK",6004
"SOUTH WILLIAMSPORT",5997
"REDSTONE",5992
"POSEN",5987
"MARBLETOWN",5986
"FORT EDWARD",5979
"CATLIN",5974
"UPPER NAZARETH",5972
"BIRCH RUN",5971
"WIGGINS",5965
"WOODHULL",5963
"VIRGIL",5962
"WOODCLIFF LAKE",5961
"WEST CREEK",5960
"LOCUST",5960
"DELLWOOD",5959
"ELDON",5954
"BAZETTA",5954
"MARILLA",5953
"HAINESPORT",5951
"REDFIELD",5951
"LACY-LAKEVIEW",5948
"NEW HAMPTON",5945
"PONTOTOC",5943
"SAND CREEK",5937
"ONTWA",5935
"CRYSTAL SPRINGS",5929
"AMANDA",5925
"BRASELTON",5924
"COLUMBIA FALLS",5921
"LOOKING GLASS",5919
"SLATON",5918
"MULVANE",5915
"GHENT",5915
"THROOP",5913
"PRAIRIE GROVE",5910
"COLUSA",5907
"STARKE",5905
"MEDIA",5902
"TRIMBLE",5901
"WESTOVER",5901
"LAKEVIEW",5898
"EAST BUFFALO",5898
"BELMAR",5897
"IRWIN",5897
"TURTLE MOUNTAIN",5897
"LONGSWAMP",5892
"AROMA",5888
"TUPPER LAKE",5887
"PEVELY",5883
"CAROLINA BEACH",5881
"MILLSTADT",5881
"LAUDERDALE-BY-THE-SEA",5877
"DICKSON CITY",5877
"OKEECHOBEE",5876
"LA HABRA HEIGHTS",5867
"BEACON FALLS",5866
"NEW WHITELAND",5866
"PUNXSUTAWNEY",5864
"CHAMPLAIN",5860
"BENNER",5860
"SANDOWN",5858
"ENGLEWOOD CLIFFS",5855
"SOUTH TUCSON",5854
"JEANERETTE",5846
"SOUTH HUNTINGDON",5846
"EVERMAN",5843
"SEQUIM",5840
"INTERNATIONAL FALLS",5839
"WOODFIN",5832
"CHERRYVILLE",5828
"MADRAS",5820
"WEST JEFFERSON",5816
"HUNTINGTON WOODS",5815
"UNION SPRINGS",5813
"MAQUOKETA",5810
"POOLESVILLE",5806
"HARRAH",5804
"GATLINBURG",5804
"NORTH MANCHESTER",5798
"MOUNT ARLINGTON",5795
"MAY",5794
"WALTERBORO",5791
"COUNTRYSIDE",5785
"UNION GAP",5784
"COAL CITY",5777
"LAKEMOOR",5776
"MOOSIC",5763
"CONKLIN",5760
"POPLAR GROVE",5759
"FRANKLINTON",5757
"GAYLORD",5756
"TEQUESTA",5755
"WEST MIAMI",5755
"ANAMOSA",5747
"MARLIN",5746
"GIBRALTAR",5745
"DENNING",5743
"SURFSIDE BEACH",5738
"HELLERTOWN",5738
"OCONTO",5734
"OCEANPORT",5730
"EPHRAIM",5729
"FORT MEADE",5723
"BOGGS",5723
"ARMADA",5720
"NORTH BRADDOCK",5718
"EAST ROCKHILL",5717
"PEPPER PIKE",5711
"HAMPTONBURGH",5705
"MONACA",5701
"HERMAN",5699
"FARRELL",5694
"WINSTON",5693
"TULLY",5687
"ELDRIDGE",5686
"SNOWFLAKE",5686
"HARDIN",5676
"LACKAWAXEN",5673
"WALDO",5672
"BELDING",5668
"JAFFREY",5668
"GAS CITY",5666
"LOS RANCHOS DE ALBUQUERQUE",5664
"MARKSVILLE",5663
"ENOCH",5659
"RIO BRAVO",5657
"FALCON HEIGHTS",5655
"BATESBURG-LEESVILLE",5653
"WAKE VILLAGE",5652
"WALKERSVILLE",5652
"ELKLAND",5648
"NEW BREMEN",5647
"MASCOTTE",5646
"NORTH SEWICKLEY",5644
"BIG STONE GAP",5643
"PALMVIEW",5638
"GREENLAND",5638
"PROGRESO",5636
"DOWAGIAC",5635
"WATONGA",5630
"STEELTON",5629
"FALLS CITY",5626
"STEWARTVILLE",5625
"GALLIPOLIS",5622
"CHATSWORTH",5621
"GLENNVILLE",5616
"PITTSBORO",5613
"BUCKLEY",5608
"MENA",5607
"CLIO",5605
"LOS FRESNOS",5603
"HOOPESTON",5602
"CORAOPOLIS",5597
"HARWINTON",5596
"SYKESVILLE",5594
"BESSEMER CITY",5592
"HOLDENVILLE",5588
"CHERAW",5586
"NORTH LAWRENCE",5580
"WEST PENNSBORO",5578
"SANIBEL",5577
"AU SABLE",5572
"SARANAC",5571
"NEW GLOUCESTER",5569
"BURNSIDE",5568
"RAISINVILLE",5562
"DUNHAM",5556
"BEEKMANTOWN",5547
"ST GABRIEL",5547
"NEW MARTINSVILLE",5541
"GUSTINE",5541
"VAIL",5540
"KERMIT",5536
"BUCKHANNON",5531
"DIBOLL",5530
"RESERVE",5526
"AIRWAY HEIGHTS",5523
"LOWVILLE",5521
"FAWN",5519
"NEPHI",5518
"BRIDGTON",5516
"BALLSTON SPA",5511
"LULING",5502
"HARRIETSTOWN",5488
"HOLTVILLE",5487
"FARR WEST",5485
"OTISCO",5484
"HOLLIDAYSBURG",5480
"SOUTH BELOIT",5479
"LEIGHTON",5479
"CAVE CREEK",5478
"BERTHOUD",5474
"CIRCLE PINES",5473
"PARKVILLE",5473
