"Place","Population"
"EVERETT",142769
"NORTHFIELD",141694
"BLOOMFIELD",141364
"MAINE",141226
"AVON",140940
"TORRANCE",140317
"ESCONDIDO",140170
"LOWELL",139564
"FORT COLLINS",138736
"SUNNYVALE",138703
"WINDSOR",136005
"GREENWOOD",135737
"LYONS",135399
"DENTON",134869
"ROSWELL",134640
"FULLERTON",134036
"SAN MARCOS",133904
"READING",133752
"ERIE",132700
"MCALLEN",132225
"KENT",131944
"BURBANK",131560
"SHELBY",131238
"CHESTER",131178
"SCHAUMBURG",130718
"ANTIOCH",129560
"BLOOMINGTON",129125
"HILLSBORO",128765
"CEDAR RAPIDS",128584
"WACO",128296
"MCKINNEY",127708
"STERLING HEIGHTS",127176
"STAMFORD",126841
"LISLE",126772
"TOPEKA",126657
"CORAL SPRINGS",126518
"CLOVIS",126145
"EVANSVILLE",125679
"BLOOMINGDALE",125559
"SANDY",125289
"WEST VALLEY CITY",125093
"OLATHE",124867
"CARLSBAD",124661
"ST CHARLES",124111
"LEXINGTON",123774
"INDEPENDENCE",123684
"THOUSAND OAKS",123520
"ABILENE",123447
"BREMEN",122864
"CAMDEN",122807
"ELGIN",122501
"VISALIA",122111
"SANTA CLARA",121994
"SMITHTOWN",121817
"EL MONTE",121446
"SIMI VALLEY",120921
"LEWISVILLE",120900
"APPLE VALLEY",120593
"FRANKFORT",120036
"HUDSON",119946
"BENTON",119824
"PROVO",119815
"ASHLAND",119622
"ADAMS",119566
"KILLEEN",119510
"CICERO",119359
"CAPITAL",117555
"BRIGHTON",117416
"ANN ARBOR",117357
"DUBLIN",116554
"PALATINE",116468
"RAMAPO",115885
"ATHENS-CLARKE",114983
"LONGVIEW",114710
"SAGINAW",114674
"VALLEJO",114622
"CLEARWATER",114525
"COVINGTON",113657
"WESTON",113097
"PEORIA CITY",113049
"DULUTH",112998
"WATERBURY",112784
"INGLEWOOD",112625
"ODESSA",112211
"NORMAN",112123
"CHESTERFIELD",111954
"WESTFIELD",111845
"PIKE",111827
"LOCKPORT",111031
"VICTORVILLE",110921
"GREENFIELD",110854
"TAYLOR",110815
"ORLAND",110671
"SALISBURY",110608
"GARDEN CITY",110477
"COSTA MESA",110420
"ALLEN",110410
"ROANOKE",110366
"BRENTWOOD",110353
"OGDEN",110178
"BILLINGS",110167
"DAVENPORT",110119
"ALLENTOWN",109937
"NEWPORT",109587
"ROSS",109430
"SOUTH BEND",109368
"MIAMI GARDENS",109332
"HIGHLAND",109328
"CARMEL",109320
"MURFREESBORO",109260
"MIRAMAR",109176
"BLOOM",108751
"VAN BUREN",108544
"WOODBRIDGE",108448
"ARVADA",108172
"DOWNEY",107709
"LAKELAND",107318
"SHAWNEE",106741
"SANFORD",106719
"JOLIET",106432
"WEST COVINA",105464
"ROUND ROCK",105412
"O'FALLON",105174
"FRISCO",105155
"ATHENS",105079
"HAWTHORNE",104967
"WEST JORDAN",104915
"PUEBLO",104877
"SAN BUENAVENTURA",104423
"RICHARDSON",104173
"REDDING",103964
"LODI",103854
"GRAFTON",103693
"HIGH POINT",103396
"GREEN BAY",103379
"LIVONIA",103255
"GRESHAM",103098
"MACON",103056
"POMPANO BEACH",102609
"SMYRNA",102394
"DALY CITY",102165
"EDISON",102095
"BOULDER",101824
"PARIS",101358
"WINCHESTER",101315
"WICHITA FALLS",101313
"BERLIN",101169
"ALGONQUIN",101057
"PALM BAY",100999
"CENTENNIAL",100837
"TYLER",99965
"BATH",99736
"WEST PALM BEACH",99504
"LYNN",99253
"TEMECULA",98882
"RIALTO",98702
"PARMA",98663
"FARGO",98132
"MURRIETA",97881
"KENOSHA",97856
"NORTH CHARLESTON",97601
"CLAYTON",97501
"WATERLOO",97256
"ST CLOUD",97097
"PITTSFIELD",97084
"TOMS RIVER",96945
"WOODBURY",96876
"LAKE FOREST",96855
"GARY",96830
"BEAVERTON",96316
"SOUTH GATE",96285
"BARTLETT",96165
"BELLINGHAM",96085
"CLIFTON",95903
"NAPERVILLE",95650
"BRUNSWICK",95540
"SOMERVILLE",95373
"OREM",95248
"CONWAY",95245
"GLOUCESTER",95234
"WAUKEGAN",95199
"ANDOVER",95167
"MISSION",95150
"COMPTON",95133
"FREEPORT",95069
"BROKEN ARROW",94996
"CARSON",94973
"KALAMAZOO",94958
"SURPRISE",94941
"GREELEY",94862
"FAIRVIEW",94739
"MISSION VIEJO",94651
"SOUTHAMPTON",94566
"WYOMING",94527
"EL CAJON",94447
"YUMA",94392
"BUTLER",94333
"SPRINGDALE",93883
"FALL RIVER",93854
"LAWTON",93822
"BROCKTON",93772
"LAS CRUCES",93570
"HOLLAND",93531
"GREECE",93405
"TUSCALOOSA",93215
"BRIDGEWATER",93195
"DU PAGE",92973
"MARIETTA",92899
"SAN MATEO",92791
"ROME",92633
"VISTA",92624
"LOGAN",92502
"BOWLING GREEN",92287
"WEBSTER",92178
"SAN ANGELO",92147
"ARCADIA",92090
"VACAVILLE",91991
"HAMBURG",91869
"DAVIE",91729
"SUNRISE",91681
"LEYDEN",91641
"PITTSBURG",91464
"SPARKS",91365
"NEW BEDFORD",91202
"GREENBURGH",90276
"EVANSTON",89815
"DELAWARE",89730
"WINFIELD",89634
"NASHUA",89580
"ABERDEEN",89427
"SOUTHFIELD",89354
"GOSHEN",89186
"LEWISTON",88530
"BROOKFIELD",88497
"LONGMONT",88424
"RANDOLPH",88299
"MIAMI BEACH",88065
"DANBURY",87629
"SANTA MONICA",87563
"CHEEKTOWAGA",87496
"SANTA FE",87488
"SPOKANE VALLEY",87378
"BETHEL",87338
"HESPERIA",87136
"SANTA MARIA",86931
"CUMBERLAND",86906
"WHEATLAND",86781
"MARSHALL",86722
"ALHAMBRA",86680
"COLLEGE STATION",86679
"NORWICH",86641
"AVONDALE",86578
"LEE'S SUMMIT",86556
"TONAWANDA",86515
"HOPEWELL",86447
"BOCA RATON",86445
"SANTA BARBARA",86353
"PEARLAND",86341
"CHICO",85967
"FEDERAL WAY",85929
"PLANTATION",85852
"YAKIMA",85832
"MARYSVILLE",85646
"SANDY SPRINGS",85625
"FORT SMITH",85544
"DEARBORN",85247
"LIVERMORE",85075
"INDIO",85067
"CITRUS HEIGHTS",84619
"GREENWICH",84241
"OAK PARK",84239
"SALINA",83964
"BELLEVILLE",83942
"NEW BRITAIN",83846
"RACINE",83818
"SUFFOLK",83659
"EASTON",83649
"DELTONA",83530
"BRYAN",83471
"ST GEORGE",83299
"GULFPORT",82998
"CHINO",82830
"SIOUX CITY",82794
"CLARKSTOWN",82777
"RIO RANCHO",82574
"SHARON",82483
"DUNDEE",82378
"NORTHAMPTON",82340
"LYNCHBURG",82204
"LAKE",82045
"WHITTIER",82034
"DERRY",81958
"WELLINGTON",81735
"SUGAR LAND",81725
"NEWPORT BEACH",81680
"TRACY",81535
"COLONIE",81518
"JOHNSON CITY",81462
"NAMPA",81241
"EDMOND",81136
"KINGSTON",81035
"GENEVA",80538
"MOUNTAIN VIEW",80428
"MELBOURNE",80416
"CHAMPAIGN CITY",80286
"WILSON",80173
"CRANSTON",80126
"GRANT",80092
